Year,Trade_Flow,Partner_ISO,Partner_Country,HS_Code,Product_Description,Value_USD
2015,Export,NLD,Netherlands,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,10654597.0
2015,Export,NCL,New Caledonia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,38393.0
2015,Export,NZL,New Zealand,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1478041.0
2015,Export,NGA,Nigeria,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,204453.0
2015,Export,NOR,Norway,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2230321.0
2015,Export,PAK,Pakistan,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,68570.0
2015,Export,PNG,Papua New Guinea,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1301.0
2015,Export,PER,Peru,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1349448.0
2015,Export,PHL,Philippines,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,66445.0
2015,Export,POL,Poland,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2554957.0
2015,Export,PRT,Portugal,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1597887.0
2015,Export,QAT,Qatar,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,8050.0
2015,Export,ROU,Romania,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,736940.0
2015,Export,RUS,Russian Federation,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,95232.0
2015,Export,SAU,Saudi Arabia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,782996.0
2015,Export,SGP,Singapore,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,7817462.0
2015,Export,SVK,Slovakia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,105080.0
2015,Export,SVN,Slovenia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,71424.0
2015,Export,ZAF,South Africa,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,167050.0
2015,Export,ESP,Spain,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,10093677.0
2015,Export,SDN,Sudan,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1298839.0
2015,Export,SWE,Sweden,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,952854.0
2015,Export,CHE,Switzerland,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,19035.0
2015,Export,SYR,Syria,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,300702.0
2015,Export,THA,Thailand,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,33888269.0
2015,Export,TTO,Trinidad and Tobago,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,211125.0
2015,Export,ARE,United Arab Emirates,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,952028.0
2015,Export,TUN,Tunisia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1964981.0
2015,Export,TUR,Türkiye,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1095480.0
2015,Export,UKR,Ukraine,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,62960.0
2015,Export,EGY,Egypt,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1626112.0
2015,Export,GBR,United Kingdom,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4068835.0
2015,Export,USA,USA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,98292874.0
2015,Export,YEM,Yemen,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,92188.0
2015,Export,_X ,"Areas, nes",1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3581798.0
2015,Export,AND,Andorra,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",197912.0
2015,Export,AGO,Angola,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",5450.0
2015,Export,ARG,Argentina,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1306372.0
2015,Export,AUS,Australia,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",67439938.0
