refYear,refMonth,reporterDesc,flowDesc,partnerDesc,classificationCode,cmdCode,cmdDesc,qty,qtyUnitAbbr,netWgt,fobvalue,primaryValue
52,2015,X,620,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,321960.0,True,1597887.0,6
52,2015,X,634,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,1661.0,True,8050.0,6
52,2015,X,642,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,152121.0,True,736940.0,6
52,2015,X,643,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,19654.0,True,95232.0,6
52,2015,X,682,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,169341.0,True,782996.0,6
52,2015,X,702,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,1906709.0,True,7817462.0,6
52,2015,X,703,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,26548.0,True,105080.0,6
52,2015,X,705,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,14466.0,True,71424.0,6
52,2015,X,710,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,33659.0,True,167050.0,6
52,2015,X,724,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,2070007.0,True,10093677.0,6
52,2015,X,729,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,261705.0,True,1298839.0,6
52,2015,X,752,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,191992.0,True,952854.0,6
52,2015,X,757,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,3928.0,True,19035.0,6
52,2015,X,760,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,60589.0,True,300702.0,6
52,2015,X,764,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,7081859.0,True,33888269.0,6
52,2015,X,780,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,42904.0,True,211125.0,6
52,2015,X,784,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,232360.0,True,952028.0,6
52,2015,X,788,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,395927.0,True,1964981.0,6
52,2015,X,792,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,220964.0,True,1095480.0,6
52,2015,X,804,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,12686.0,True,62960.0,6
52,2015,X,818,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,327647.0,True,1626112.0,6
52,2015,X,826,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,848623.0,True,4068835.0,6
52,2015,X,842,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,20758332.0,True,98292874.0,6
52,2015,X,887,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,18575.0,True,92188.0,6
52,2015,X,899,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,727027.0,True,3581798.0,6
52,2015,X,0,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,117443496.0,True,1299403572.0,6
52,2015,X,20,0,HS,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4,True,17147.0,True,197912.0,6
