Year,Trade_Flow,Partner,Partner_ISO,HS_Code,Commodity,Quantity_kg,Unit,Value_USD
2015,Export,Türkiye,TUR,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,6375830.0
2015,Export,Ukraine,UKR,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,10319704.0
2015,Export,Egypt,EGY,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,62362803.0
2015,Export,United Kingdom,GBR,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,112303736.0
2015,Export,United Rep. of Tanzania,TZA,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,352980.0
2015,Export,USA,USA,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,812714850.0
2015,Export,Uruguay,URY,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,3494298.0
2015,Export,Uzbekistan,UZB,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,145870.0
2015,Export,Venezuela,VEN,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,164595.0
2015,Export,"Areas, nes",_X ,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,46961730.0
2015,Export,Algeria,DZA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,284432.0,kg,1411633.0
2015,Export,Angola,AGO,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,76552.0,kg,379925.0
2015,Export,Australia,AUS,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1250568.0,kg,4977078.0
2015,Export,Bahamas,BHS,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,8145.0,kg,40425.0
2015,Export,Bahrain,BHR,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,466.0,kg,2257.0
2015,Export,Belgium,BEL,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,609278.0,kg,2977498.0
2015,Export,Solomon Isds,SLB,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1571.0,kg,6220.0
2015,Export,Cambodia,KHM,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3076479.0,kg,14298193.0
2015,Export,Canada,CAN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,477812.0,kg,2318135.0
2015,Export,Chile,CHL,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,231157.0,kg,1147101.0
2015,Export,China,CHN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1194683.0,kg,4793935.0
2015,Export,Colombia,COL,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,378.0,kg,1495.0
2015,Export,Croatia,HRV,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,457386.0,kg,2270002.0
2015,Export,Cyprus,CYP,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,27462.0,kg,135030.0
2015,Export,Denmark,DNK,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,15272.0,kg,65748.0
2015,Export,Dominican Rep.,DOM,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,8561.0,kg,42488.0
2015,Export,Fiji,FJI,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,170331.0,kg,831090.0
2015,Export,France,FRA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,318538.0,kg,1325165.0
2015,Export,Germany,DEU,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4605446.0,kg,22662761.0
2015,Export,Ghana,GHA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,91681.0,kg,418017.0
2015,Export,Kiribati,KIR,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,727.0,kg,2761.0
2015,Export,Greece,GRC,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,191402.0,kg,949926.0
2015,Export,Honduras,HND,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,488572.0,kg,1599472.0
2015,Export,"China, Hong Kong SAR",HKG,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,807293.0,kg,3724905.0
2015,Export,Hungary,HUN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,17179.0,kg,78730.0
2015,Export,Indonesia,IDN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,26251.0,kg,126358.0
2015,Export,Israel,ISR,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1185941.0,kg,5790960.0
2015,Export,Italy,ITA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,307747.0,kg,1320821.0
2015,Export,Côte d'Ivoire,CIV,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,16402.0,kg,81186.0
2015,Export,Japan,JPN,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,15612822.0,kg,74056684.0
2015,Export,Jordan,JOR,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,280277.0,kg,1383419.0
