refYear,partnerISO,partnerDesc,flowDesc,cmdCode,cmdDesc,primaryValue
2013,AUS,Australia,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",89856361.0
2013,AUT,Austria,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",649635.0
2013,BHR,Bahrain,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",25365.0
2013,BEL,Belgium,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",17512454.0
2013,KHM,Cambodia,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",443789.0
2013,CAN,Canada,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",38116703.0
2013,CHL,Chile,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",57600.0
2013,CHN,China,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",2496554.0
2013,COL,Colombia,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",38800.0
2013,HRV,Croatia,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",35800.0
2013,CYP,Cyprus,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",70785.0
2013,CZE,Czechia,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",107898.0
2013,DNK,Denmark,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",11256074.0
2013,DMA,Dominica,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",38055.0
2013,DOM,Dominican Rep.,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4580.0
2013,FJI,Fiji,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4750.0
2013,FRA,France,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",33498221.0
2013,DEU,Germany,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",38722310.0
2013,GHA,Ghana,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",52417.0
2013,HND,Honduras,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",14250.0
2013,HKG,"China, Hong Kong SAR",Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",13964444.0
2013,HUN,Hungary,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",137855.0
2013,IDN,Indonesia,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",50344.0
2013,IRL,Ireland,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",206509.0
2013,ISR,Israel,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",2924181.0
2013,ITA,Italy,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",12053661.0
2013,JAM,Jamaica,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",32622.0
2013,JPN,Japan,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",282330320.0
2013,JOR,Jordan,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",198739.0
2013,KEN,Kenya,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",10973.0
2013,KOR,Rep. of Korea,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",64476369.0
2013,KWT,Kuwait,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1356601.0
2013,LAO,Lao People's Dem. Rep.,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",14941.0
2013,LBN,Lebanon,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",2182446.0
2013,LBY,Libya,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",113909.0
2013,LTU,Lithuania,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",775398.0
2013,MYS,Malaysia,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",6384400.0
2013,MLT,Malta,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",55080.0
