Year,Trade_Flow,Partner_Country,HS_Code,Product_Description,Weight_KG,Value_USD
2015,Export,Mozambique,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1200.0
2015,Export,Oman,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,3441036.0
2015,Export,Netherlands,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,10654597.0
2015,Export,New Caledonia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,38393.0
2015,Export,New Zealand,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1478041.0
2015,Export,Nigeria,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,204453.0
2015,Export,Norway,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,2230321.0
2015,Export,Pakistan,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,68570.0
2015,Export,Papua New Guinea,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1301.0
2015,Export,Peru,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1349448.0
2015,Export,Philippines,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,66445.0
2015,Export,Poland,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,2554957.0
2015,Export,Portugal,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1597887.0
2015,Export,Qatar,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,8050.0
2015,Export,Romania,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,736940.0
2015,Export,Russian Federation,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,95232.0
2015,Export,Saudi Arabia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,782996.0
2015,Export,Singapore,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,7817462.0
2015,Export,Slovakia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,105080.0
2015,Export,Slovenia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,71424.0
2015,Export,South Africa,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,167050.0
2015,Export,Spain,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,10093677.0
